company,sub_industry,type_company,location,url_page_details
6zene-Technologies-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Gurgaon/Gurugram / Haryana 
	- 122015
",https://www.fundoodata.com/companies-detail/6zene-Technologies-Pvt-Ltd/141482.html?&pageno=59
72interactive," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110095
",https://www.fundoodata.com/companies-detail/72interactive/80057.html?&pageno=60
75way-Technologies-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Mohali / Chandigarh 
	- 140603
",https://www.fundoodata.com/companies-detail/75way-Technologies-Pvt-Ltd/154524.html?&pageno=61
76-DE-Technologies-Pvt.-Ltd," IT Software , QA -Testing
"," SMEs
"," Kochi / Kerala 
	- 682030
",https://www.fundoodata.com/companies-detail/76-DE-Technologies-Pvt.-Ltd/133240.html?&pageno=62
7Eleven-Arthashastra-Technology-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600041
",https://www.fundoodata.com/companies-detail/7Eleven-Arthashastra-Technology-Pvt-Ltd/140871.html?&pageno=63
,,,,
7i-Systems-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Udaipur / Rajasthan 
	- 313001
",https://www.fundoodata.com/companies-detail/7i-Systems-Pvt-Ltd/139780.html?&pageno=64
7N-Consulting-Pvt-Ltd," IT Software , QA -Testing
"," MNC
"," Gurgaon/Gurugram / Haryana 
	- 122003
",https://www.fundoodata.com/companies-detail/7N-Consulting-Pvt-Ltd/151726.html?&pageno=65
7Seas-Entertainment-Ltd," IT Software , QA -Testing
"," SMEs
"," Hyderabad / Telangana 
	- 500082
",https://www.fundoodata.com/companies-detail/7Seas-Entertainment-Ltd/54744.html?&pageno=66
7techies," IT Software , QA -Testing
"," SMEs
"," New Delhi / Delhi 
	- 110085
",https://www.fundoodata.com/companies-detail/7techies/91062.html?&pageno=67
8-Webcom-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Ahmedabad / Gujarat 
	- 380015
",https://www.fundoodata.com/companies-detail/8-Webcom-Pvt-Ltd/143318.html?&pageno=68
8K-Miles-Software-Services-Ltd," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600018
",https://www.fundoodata.com/companies-detail/8K-Miles-Software-Services-Ltd/142460.html?&pageno=69
8KMiles-Software-Services-Ltd," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600018
",https://www.fundoodata.com/companies-detail/8KMiles-Software-Services-Ltd/79961.html?&pageno=70
91Digital-Web-Pvt-Ltd," IT Software , QA -Testing
"," Startups
"," Gurgaon/Gurugram / Haryana 
	- 122015
",https://www.fundoodata.com/companies-detail/91Digital-Web-Pvt-Ltd/130183.html?&pageno=71
9artsmedia," IT Software , QA -Testing, IT- Network Admin , Database , Datacenter , Security
"," SMEs
"," Hyderabad / Telangana 
	- 500073
",https://www.fundoodata.com/companies-detail/9artsmedia/113926.html?&pageno=72
9Series-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Ahmedabad / Gujarat 
	- 380058
",https://www.fundoodata.com/companies-detail/9Series-Solutions-Pvt-Ltd/111687.html?&pageno=73
9Stone-Technology-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Chennai / Tamil Nadu 
	- 600078
",https://www.fundoodata.com/companies-detail/9Stone-Technology-Pvt-Ltd/80259.html?&pageno=74
A-G-N-Software-Consultants," IT Software , QA -Testing, IT- Consulting
"," SMEs
"," Jaipur / Rajasthan 
	- 302021
",https://www.fundoodata.com/companies-detail/A-G-N-Software-Consultants/51421.html?&pageno=75
A-Little-World-Pvt-Ltd," Financial Services, IT Software , QA -Testing
"," Industry Top
"," Navi Mumbai / Maharashtra 
	- 400703
",https://www.fundoodata.com/companies-detail/A-Little-World-Pvt-Ltd/125069.html?&pageno=76
A-Niche-Infotech-Solutions-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Vasai / Maharashtra 
	- 401208
",https://www.fundoodata.com/companies-detail/A-Niche-Infotech-Solutions-Pvt-Ltd/75498.html?&pageno=77
A-R-Software-Pvt-Ltd," IT Software , QA -Testing
"," SMEs
"," Faridabad / Haryana 
	- 121002
",https://www.fundoodata.com/companies-detail/A-R-Software-Pvt-Ltd/82489.html?&pageno=78
A-Techrays-Engineering-Pvt-Ltd," IT Software , QA -Testing, IT- Consulting
"," SMEs
"," Bangalore / Bengaluru / Karnataka 
	- 560037
",https://www.fundoodata.com/companies-detail/A-Techrays-Engineering-Pvt-Ltd/133586.html?&pageno=79
A-V-Solutions," IT- Network Admin , Database , Datacenter , Security
"," SMEs
"," Kolkata / West Bengal 
	- 700075
",https://www.fundoodata.com/companies-detail/A-V-Solutions/110547.html?&pageno=80
A&D-Technologies," IT Software , QA -Testing
"," SMEs
"," Aligarh / Uttar Pradesh 
	- 202001
",https://www.fundoodata.com/companies-detail/A&D-Technologies/134337.html?&pageno=81
A&S-Software-Technologies," IT- Consulting
"," SMEs
"," Chennai / Tamil Nadu 
	- 600017
",https://www.fundoodata.com/companies-detail/A&S-Software-Technologies/114048.html?&pageno=82
A-One-Tech-Solutions," IT- Hardware
"," SMEs
"," New Delhi / Delhi 
	- 110044
",https://www.fundoodata.com/companies-detail/A-One-Tech-Solutions/145903.html?&pageno=83
,,,,
