company,address,location_phones,web_company
Aamod Info Pvt Ltd,"  Address - 389 B, Satyabhama				  				  Road No. 4, Ashok Nagar","				        Ranchi	                Jharkhand , 834001	 (0651) 9334852260  6570489",
Aaneel Infotech,"  Address - B  305/B,				  				  Shivalik Corporate Park, Off 132 ft. Ring Road satelite","				        Ahmedabad	                Gujarat , 380001	 (079) 40054702",aaneel.com
AANNYA Softwares Pvt Ltd,"  Address - F-19/14, Sector -8 Rohini,				        New Delhi	                Delhi , 110085	 (011) 9643779983",aannya.com,
Aanvi Support Services Pvt Ltd,"  Address - 8A Mohini Mohan Rd, Jadubabur Bazar, Bhowanipore				        Kolkata	                West Bengal , 700020	 (033) 64583503  9007110077",,
Aapna Infotech Pvt Ltd,  Address - B 1 Community Center				  				  Janakpuri,"				        New Delhi	                Delhi , 110058	 (011) 47571922",www.aapnainfotech.com
Aara Tech Pvt Ltd,"  Address - Unit # 03, Ground Floor, Pinnacle, Ascendas ITPL, Taramani				        Chennai	                Tamil Nadu , 600113	 (044) 43434747",www.aaratech.com,
Aarav Infotech India Pvt Ltd,"  Address - 110, 1st Floor, in Millenium Plaza Off Andheri-Kurla Road				  				  Address : 110, 1st Floor, in Millenium Plaza Off Andheri-Kurla Road Behind Sakinaka Telephone Exchange Sakinaka , Andheri (East)","				        Mumbai	                Maharashtra , 400072	 (022) 28594142  65610942",www.aaravinfotech.com
Aaric Technologies Ltd,"  Address - C-24 Thejaswini Technopark				        Thiruvananthapuram	                Kerala , 695581	 (0471) 4068585  9846874676",,
Aark Infosoft Pvt Ltd,"  Address - 4-5, Shetrunjay				  				  Above Central Bank of India,Bhattha Cross Roads,Paldi,","				        Ahmedabad	                Gujarat , 380007	 (079) 30079000  30079001",www.aark.co.in
Aarna Global Infotech Solutions Pvt Ltd,"  Address - 182, 2nd Floor, Pocket-16, Sector-24, Rohini				        New Delhi	                Delhi , 110085	 (011) 9899250745  9711300511",,
Aarna Systems Pvt Ltd,"  Address - 211, R-Cube Mumbai-Bangalore Highway				  				  Near, AtulNagar Phase I, Atul Nagar, Warje","				        Pune	                Maharashtra , 411052	 (020) 8888851177",www.aarnasystems.com
Aartech Solonics Ltd,"  Address - Ashirwad E-2/57, Arera Colony,				        Bhopal	                Madhya Pradesh , 462016	 (0755) 4276335   9993091165",www.aartechsolonics.com,
Aartek Software Solutions Pvt Ltd,"  Address - A/2, 3rd Floor, Classic Moon Building, Greater Kai				        Indore	                Madhya Pradesh , 452001	 (0731) 4070712",www.aartek.co.in,
Aaryan Infotech,"  Address - Shop no 3 & 4, Kundan Bhavan,				  				  Near Suncity Restaurant,Thane(W)","				        Mumbai	                Maharashtra , 400607	 (022) 25384141",www.aaryaninfotech.in
Aashee Infotech Ltd (Jatalia Group),"  Address - 307, Lusa Tower, Azadpur				        New Delhi	                Delhi , 110033	 (011) 40424242",aasheeinfotech.com,
Aashnik Incorporated,"  Address - F-46,47,48, 50 & 52, National Plaza				  				  R. C. Dutt Road Alkapuri","				        Vadodara	                Gujarat , 390007	 (0265) 2323216  3054311",www.aashnik.com
Aashra Web Solution,"  Address - In front of Bagh Colony,				  				  Govindpur","				        Gondia	                Maharashtra , 441601	 (07182) 9370887004",www.aashrawebsol.com
Aatash Norcontrol Ltd,"  Address - 213, Devarc Commercial Complex				  				  Nr. Iscon Circle, S. G. Highway","				        Ahmedabad	                Gujarat , 380059	 (079) 26923982   26923983",www.aatash.com
Aath info solutions,"  Address - C-60, Lajpat Nagar,Near Metro Station				        New Delhi	                Delhi , 110024	 (011) 40511823",www.aathinfosolutions.com,
Aatral Technologies India Pvt Ltd,"  Address - #225, 4th Sector,13th Cross, HSR Layout				        Bangalore / Bengaluru	                Karnataka , 560102	 (080) 65650133",www.aatraltechnologies.com,
Aavanor Systems Pvt. Ltd,  Address - S-60 & 61 20th Street				  				  Annanagar,"				        Chennai	                Tamil Nadu , 600040	 (044) 26208920  9244929299",www.aavanor.com
Aayam Infotech Pvt Ltd,"  Address - Opp. Patna College Ashok Raj Path				        Patna	                Bihar , 800004	 (0612) 9572257110",www.aayam.in,
AB Innovative Software Pvt Ltd,"  Address - Manka, II Floor, 90, 2nd Main, Electronic City				  				  Phase I","				        Bangalore / Bengaluru	                Karnataka , 560100	 (080) 46698686",www.abinnovative.com
AB Logics Pvt Ltd,"  Address - 2112, 9th Main, 15th cross, D Block, Sahakaranagar				        Bangalore / Bengaluru	                Karnataka , 560092	 (080) 42179064",www.ablogics.com,
Abacus Consultancy Services Pvt Ltd,"  Address - 404-405, Trade House, 14, South Tukoganj				        Indore	                Madhya Pradesh , 452001	 (0731) 4222314",www.itsabacus.com,
Abacus Desk IT Solutions Pvt. Ltd,"  Address - 5E/7 Basement, BP, Railway Road,				        Faridabad	                Haryana , 121001	 (0129) 4021258",www.abacusdesk.com,
Abacus Infotech,"  Address - 211, Blue Rose Industrial Premises 2nd Floor, Above Maruti				  				  Showroom, Datta Pada, Off Western Express Highway Borivali (East)","				        Mumbai	                Maharashtra , 400066	 (022) 8422800551  9898189555",www.abacusinfotech.net
Abacus Peripherals Pvt Ltd,"  Address - 29, Apurva Industrial Estate				  				  Makwana Road, Off. Andheri, Kurla Road, Marol Naka, Andheri (E)","				        Mumbai	                Maharashtra , 400059	 (022) 40914601  40914602",abacusperipherals.com
